0,K-Means,DBSCAN,MiniBatchKMeans,BisectingKMeans,AggCluAvarage,AggCluComplete,AggCluSingle,AggCluWard, Class
Gaia22cxs,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,unknown
Gaia22cxr,0.0,0.0,1.0,6.0,0.0,1.0,0.0,6.0,SN Ia
Gaia22cxn,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,BL Lac
Gaia22cxm,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22cxl,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22cxf,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,unknown
Gaia22cxe,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22cxd,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22cwx,5.0,0.0,2.0,4.0,0.0,1.0,0.0,3.0,unknown
Gaia22cwr,6.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22cwm,6.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,unknown
Gaia22cwj,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22cvx,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22cvv,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,unknown
Gaia22cvg,6.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22cvc,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,unknown
Gaia22cva,3.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22cuy,5.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22cum,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22cul,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22cue,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22ctm,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22cti,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,CV
Gaia22csu,6.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22csr,5.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,CV
Gaia22cse,3.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,unknown
Gaia22crt,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,QSO
Gaia22crn,2.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22crm,5.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22cqp,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,AGN
Gaia22cqo,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22cqn,6.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22cqm,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22cqg,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22cpd,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,unknown
Gaia22cpa,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22cov,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22coj,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,unknown
Gaia22cog,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22coc,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22cnx,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22cnl,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22cnk,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22cnj,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22cni,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22cnh,5.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22cmu,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22cmm,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22clw,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22clv,5.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22clu,5.0,0.0,2.0,4.0,0.0,1.0,0.0,5.0,unknown
Gaia22clt,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22clo,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22clk,5.0,0.0,2.0,4.0,0.0,1.0,0.0,3.0,TDE
Gaia22clb,6.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22cla,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22ckz,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22cja,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22cim,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,SN Ia
Gaia22cil,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22cid,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,CV
Gaia22cib,3.0,0.0,6.0,4.0,0.0,1.0,0.0,5.0,unknown
Gaia22cia,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,BL Lac
Gaia22chh,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22chc,6.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22cgs,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,QSO
Gaia22cgr,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,CV
Gaia22cgo,0.0,0.0,1.0,6.0,0.0,1.0,0.0,6.0,SN Ia
Gaia22cga,6.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,QSO
Gaia22cfz,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22cfw,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,unknown
Gaia22cfj,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22cfb,5.0,0.0,2.0,4.0,0.0,1.0,0.0,3.0,unknown
Gaia22cey,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22cek,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22ceh,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22cdr,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,unknown
Gaia22cdc,5.0,0.0,2.0,4.0,0.0,1.0,0.0,3.0,unknown
Gaia22cdb,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22ccv,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,YSO
Gaia22cci,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,CV
Gaia22cbw,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,unknown
Gaia22cbs,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22cbr,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22cbn,3.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,QSO
Gaia22cbl,5.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22cax,5.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22caw,5.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,CV
