0,DBSCAN
Gaia22cxs,0
Gaia22cxr,0
Gaia22cxo,1
Gaia22cxn,-1
Gaia22cxm,0
Gaia22cxl,-1
Gaia22cxe,0
Gaia22cxd,-1
Gaia22cxa,0
Gaia22cwz,-1
Gaia22cwy,0
Gaia22cwx,0
Gaia22cws,0
Gaia22cwr,-1
Gaia22cwo,0
Gaia22cwm,-1
Gaia22cwk,0
Gaia22cwj,0
Gaia22cwd,0
Gaia22cwb,0
Gaia22cvz,0
Gaia22cvy,-1
Gaia22cvx,-1
Gaia22cvv,0
Gaia22cvu,0
Gaia22cvr,0
Gaia22cvn,-1
Gaia22cvm,0
Gaia22cvg,-1
Gaia22cvc,0
Gaia22cvb,-1
Gaia22cva,0
Gaia22cuy,0
Gaia22cux,0
Gaia22cus,-1
Gaia22cuq,0
Gaia22cun,-1
Gaia22cum,2
Gaia22cul,0
Gaia22cuf,0
Gaia22cue,-1
Gaia22cty,0
Gaia22ctx,0
Gaia22ctw,-1
Gaia22cto,0
Gaia22ctm,-1
Gaia22ctl,0
Gaia22ctk,0
Gaia22ctj,0
Gaia22cti,-1
Gaia22cth,-1
Gaia22csx,0
Gaia22csw,0
Gaia22csv,-1
Gaia22csu,-1
Gaia22cst,0
Gaia22csr,-1
Gaia22cse,-1
Gaia22csb,0
Gaia22crz,-1
Gaia22crv,0
Gaia22crt,0
Gaia22crs,0
Gaia22crr,-1
Gaia22crq,0
Gaia22cro,0
Gaia22crn,-1
Gaia22crm,0
Gaia22crl,0
Gaia22crk,-1
Gaia22cri,0
Gaia22crh,0
Gaia22crb,0
Gaia22cra,0
Gaia22cqy,-1
Gaia22cqx,0
Gaia22cqw,-1
Gaia22cqr,0
Gaia22cqq,0
Gaia22cqp,0
Gaia22cqo,-1
Gaia22cqn,-1
Gaia22cqm,0
Gaia22cqj,0
Gaia22cqi,0
Gaia22cqh,0
Gaia22cqg,0
Gaia22cqf,0
Gaia22cqb,0
Gaia22cqa,0
Gaia22cpz,-1
Gaia22cpv,0
Gaia22cpr,0
Gaia22cpq,-1
Gaia22cpp,-1
Gaia22cpl,0
Gaia22cpj,0
Gaia22cpi,0
Gaia22cph,-1
Gaia22cpg,0
Gaia22cpf,0
Gaia22cpd,0
Gaia22cpa,0
Gaia22coz,0
Gaia22coy,-1
Gaia22cox,0
Gaia22cow,0
Gaia22cov,0
Gaia22coo,-1
Gaia22con,0
Gaia22com,0
Gaia22cok,0
Gaia22coj,0
Gaia22coh,0
Gaia22cog,-1
Gaia22cof,0
Gaia22cob,0
Gaia22coa,-1
Gaia22cnz,0
Gaia22cny,-1
Gaia22cnx,0
Gaia22cns,0
Gaia22cno,0
Gaia22cnn,0
Gaia22cnm,0
Gaia22cnl,0
Gaia22cnk,-1
Gaia22cnj,-1
Gaia22cni,-1
Gaia22cnh,-1
Gaia22cne,0
Gaia22cna,0
Gaia22cmu,-1
Gaia22cmt,-1
Gaia22cms,0
Gaia22cmr,-1
Gaia22cmn,-1
Gaia22cmm,0
Gaia22cml,0
Gaia22cmh,0
Gaia22cmf,0
Gaia22clx,-1
Gaia22clw,0
Gaia22clv,-1
Gaia22clt,0
Gaia22clq,0
Gaia22clp,-1
Gaia22clo,-1
Gaia22clm,0
Gaia22cll,-1
Gaia22clj,0
Gaia22cli,0
Gaia22clh,0
Gaia22clg,0
Gaia22clf,0
Gaia22clc,-1
Gaia22cla,-1
Gaia22ckz,-1
Gaia22cky,0
Gaia22ckx,0
Gaia22ckw,0
Gaia22cks,0
Gaia22ckq,0
Gaia22ckp,0
Gaia22ckn,0
Gaia22ckl,-1
Gaia22ckk,0
Gaia22ckj,0
Gaia22ckg,0
Gaia22ckf,0
Gaia22cke,0
Gaia22ckd,-1
Gaia22ckc,0
Gaia22cka,3
Gaia22cjz,0
Gaia22cjy,-1
Gaia22cjx,-1
Gaia22cjw,-1
Gaia22cjv,-1
Gaia22cju,-1
Gaia22cjt,0
Gaia22cjs,0
Gaia22cjr,0
Gaia22cjq,0
Gaia22cjn,-1
Gaia22cjk,-1
Gaia22cjh,0
Gaia22cjg,0
Gaia22cje,0
Gaia22cjc,0
Gaia22cjb,0
Gaia22cja,0
Gaia22ciz,-1
Gaia22ciy,0
Gaia22cix,0
Gaia22ciw,0
Gaia22civ,0
Gaia22ciu,0
Gaia22cit,-1
Gaia22cis,0
Gaia22ciq,0
Gaia22cip,0
Gaia22cin,0
Gaia22cim,0
Gaia22cil,-1
Gaia22cik,0
Gaia22cih,0
Gaia22cig,0
Gaia22cif,0
Gaia22cie,0
Gaia22cid,0
Gaia22cic,0
Gaia22cib,0
Gaia22cia,-1
Gaia22chz,0
Gaia22chy,-1
Gaia22chx,0
Gaia22chu,0
Gaia22cht,0
Gaia22chs,0
Gaia22chr,0
Gaia22chq,0
Gaia22chp,0
Gaia22cho,0
Gaia22chn,0
Gaia22chl,0
Gaia22chk,0
Gaia22chh,0
Gaia22chg,0
Gaia22chf,0
Gaia22che,0
Gaia22chd,-1
Gaia22cgy,0
Gaia22cgx,0
Gaia22cgw,0
Gaia22cgv,0
Gaia22cgs,-1
Gaia22cgr,-1
Gaia22cgq,0
Gaia22cgp,0
Gaia22cgl,-1
Gaia22cgk,0
Gaia22cgj,-1
Gaia22cgi,-1
Gaia22cgf,0
Gaia22cgd,0
Gaia22cga,0
Gaia22cfz,-1
Gaia22cfw,0
Gaia22cfs,0
Gaia22cfr,-1
Gaia22cfq,0
Gaia22cfp,0
Gaia22cfo,-1
Gaia22cfn,0
Gaia22cfm,-1
Gaia22cfl,0
Gaia22cfk,0
Gaia22cfj,-1
Gaia22cff,0
Gaia22cfe,0
Gaia22cfd,0
Gaia22cfb,-1
Gaia22cfa,0
Gaia22cez,0
Gaia22cey,0
Gaia22cex,0
Gaia22cev,-1
Gaia22ceu,-1
Gaia22cet,-1
Gaia22ces,-1
Gaia22ceq,0
Gaia22cen,0
Gaia22cem,0
Gaia22cel,0
Gaia22cek,-1
Gaia22cej,0
Gaia22ceh,-1
Gaia22ceg,-1
Gaia22ced,0
Gaia22ceb,-1
Gaia22cea,-1
Gaia22cdz,-1
Gaia22cdy,-1
Gaia22cdw,0
Gaia22cdv,0
Gaia22cdt,0
Gaia22cdr,0
Gaia22cdq,-1
Gaia22cdm,0
Gaia22cdl,-1
Gaia22cdk,0
Gaia22cdh,0
Gaia22cdd,0
Gaia22cdc,-1
Gaia22cdb,-1
Gaia22cda,0
Gaia22ccz,0
Gaia22ccw,0
Gaia22ccv,-1
Gaia22ccu,0
Gaia22ccs,0
Gaia22ccr,0
Gaia22ccq,0
Gaia22cco,0
Gaia22ccn,-1
Gaia22ccl,-1
Gaia22cci,0
Gaia22cch,-1
Gaia22cce,0
Gaia22ccd,0
Gaia22ccc,0
Gaia22ccb,0
Gaia22cca,0
Gaia22cby,0
Gaia22cbw,0
Gaia22cbt,-1
Gaia22cbs,0
Gaia22cbr,0
Gaia22cbq,-1
Gaia22cbp,0
Gaia22cbo,0
Gaia22cbn,-1
Gaia22cbm,0
Gaia22cbk,0
Gaia22cbj,0
Gaia22cbi,0
Gaia22cbh,0
Gaia22cbg,0
Gaia22cbf,0
Gaia22cbe,0
Gaia22cbd,0
Gaia22cbc,-1
Gaia22cbb,0
Gaia22cay,0
Gaia22cax,-1
Gaia22caw,-1
Gaia22cav,-1
Gaia22cau,0
Gaia22cap,-1
Gaia22cao,-1
Gaia22can,4
Gaia22caj,0
Gaia22cai,0
Gaia22cag,0
Gaia22caf,-1
Gaia22cae,0
Gaia22cac,0
