0,BIRCH,K-Means,MiniBatchKMeans,BisectingKMeans,AggCluWard, Class
Gaia22cxs,0.0,7.0,3.0,6.0,0.0,unknown
Gaia22cxr,3.0,0.0,1.0,0.0,1.0,SN Ia
Gaia22cxn,0.0,6.0,6.0,4.0,0.0,BL Lac
Gaia22cxm,3.0,4.0,2.0,3.0,1.0,unknown
Gaia22cxl,7.0,1.0,2.0,2.0,1.0,unknown
Gaia22cxf,5.0,0.0,0.0,1.0,2.0,unknown
Gaia22cxe,7.0,1.0,2.0,3.0,1.0,unknown
Gaia22cxd,7.0,1.0,5.0,2.0,1.0,unknown
Gaia22cwx,7.0,1.0,2.0,2.0,1.0,unknown
Gaia22cwr,3.0,4.0,6.0,3.0,0.0,unknown
Gaia22cwm,4.0,4.0,6.0,3.0,7.0,unknown
Gaia22cwj,3.0,3.0,3.0,7.0,5.0,unknown
Gaia22cvx,0.0,6.0,6.0,5.0,0.0,unknown
Gaia22cvv,5.0,0.0,0.0,1.0,2.0,unknown
Gaia22cvg,3.0,4.0,6.0,3.0,0.0,unknown
Gaia22cvc,5.0,0.0,0.0,1.0,2.0,unknown
Gaia22cva,0.0,6.0,3.0,5.0,0.0,unknown
Gaia22cuy,7.0,1.0,2.0,3.0,1.0,unknown
Gaia22cum,4.0,5.0,6.0,4.0,0.0,unknown
Gaia22cul,7.0,1.0,5.0,2.0,1.0,unknown
Gaia22cue,0.0,5.0,6.0,4.0,0.0,unknown
Gaia22ctm,0.0,5.0,6.0,4.0,7.0,unknown
Gaia22cti,7.0,4.0,2.0,2.0,1.0,CV
Gaia22csu,0.0,6.0,6.0,5.0,0.0,unknown
Gaia22csr,4.0,4.0,2.0,3.0,7.0,CV
Gaia22cse,3.0,3.0,6.0,4.0,5.0,unknown
Gaia22crt,4.0,5.0,6.0,4.0,7.0,QSO
Gaia22crn,0.0,6.0,3.0,5.0,0.0,unknown
Gaia22crm,3.0,4.0,1.0,2.0,1.0,unknown
Gaia22cqp,4.0,5.0,6.0,4.0,7.0,AGN
Gaia22cqo,4.0,5.0,6.0,4.0,7.0,unknown
Gaia22cqn,3.0,3.0,6.0,3.0,5.0,unknown
Gaia22cqm,3.0,3.0,3.0,7.0,5.0,unknown
Gaia22cqg,4.0,5.0,6.0,4.0,7.0,unknown
Gaia22cpd,5.0,0.0,0.0,1.0,2.0,unknown
Gaia22cpa,4.0,6.0,6.0,5.0,0.0,unknown
Gaia22cov,4.0,5.0,6.0,4.0,7.0,unknown
Gaia22coj,5.0,0.0,0.0,1.0,2.0,unknown
Gaia22cog,4.0,5.0,6.0,4.0,7.0,unknown
Gaia22coc,0.0,6.0,6.0,5.0,0.0,unknown
Gaia22cnx,3.0,3.0,3.0,7.0,0.0,unknown
